nome_municipio,ano,total_furtos
Hidrolândia,2015,27
Hidrolândia,2016,20
Hidrolândia,2017,18
Hidrolândia,2018,13
Hidrolândia,2019,18
Hidrolândia,2020,14
Hidrolândia,2021,9
Hidrolândia,2022,9
Hidrolândia,2023,40
Horizonte,2009,107
Horizonte,2010,255
Horizonte,2011,493
Horizonte,2012,480
Horizonte,2013,518
Horizonte,2014,286
Horizonte,2015,442
Horizonte,2016,484
Horizonte,2017,572
Horizonte,2018,432
Horizonte,2019,393
Horizonte,2020,368
Horizonte,2021,328
Horizonte,2022,482
Horizonte,2023,455
Ibaretama,2009,3
Ibaretama,2010,1
Ibaretama,2011,1
Ibaretama,2012,3
Ibaretama,2013,9
Ibaretama,2014,20
Ibaretama,2015,24
Ibaretama,2016,41
Ibaretama,2017,24
Ibaretama,2018,23
Ibaretama,2019,12
Ibaretama,2020,7
Ibaretama,2021,16
Ibaretama,2022,19
Ibaretama,2023,29
Ibiapina,2009,1
Ibiapina,2010,3
Ibiapina,2011,1
Ibiapina,2012,4
Ibiapina,2013,31
Ibiapina,2014,30
Ibiapina,2015,63
Ibiapina,2016,43
Ibiapina,2017,109
Ibiapina,2018,119
Ibiapina,2019,59
Ibiapina,2020,48
Ibiapina,2021,41
Ibiapina,2022,67
Ibiapina,2023,50
Ibicuitinga,2009,5
Ibicuitinga,2010,8
Ibicuitinga,2011,2
Ibicuitinga,2012,8
Ibicuitinga,2013,19
Ibicuitinga,2014,9
Ibicuitinga,2015,4
Ibicuitinga,2016,8
Ibicuitinga,2017,12
Ibicuitinga,2018,9
Ibicuitinga,2019,8
Ibicuitinga,2020,7
Ibicuitinga,2021,8
Ibicuitinga,2022,19
Ibicuitinga,2023,9
Icapuí,2009,39
Icapuí,2010,10
Icapuí,2011,14
Icapuí,2012,14
Icapuí,2013,83
Icapuí,2014,84
Icapuí,2015,100
Icapuí,2016,114
Icapuí,2017,171
Icapuí,2018,136
Icapuí,2019,128
Icapuí,2020,122
Icapuí,2021,131
Icapuí,2022,109
Icapuí,2023,132
Icó,2009,180
Icó,2010,260
Icó,2011,267
Icó,2012,245
Icó,2013,287
Icó,2014,152
Icó,2015,230
Icó,2016,179
Icó,2017,273
Icó,2018,228
Icó,2019,268
Icó,2020,154
Icó,2021,147
Icó,2022,262
Icó,2023,255
Iguatu,2009,916
Iguatu,2010,669
Iguatu,2011,785
Iguatu,2012,767
Iguatu,2013,617
Iguatu,2014,438
Iguatu,2015,462
Iguatu,2016,458
Iguatu,2017,540
Iguatu,2018,530
Iguatu,2019,556
Iguatu,2020,373
Iguatu,2021,434
Iguatu,2022,578
Iguatu,2023,654
Independência,2009,1
Independência,2010,1
Independência,2011,2
Independência,2012,2
Independência,2013,70
Independência,2014,56
Independência,2015,75
Independência,2016,60
Independência,2017,86
Independência,2018,62
Independência,2019,49
Independência,2020,58
Independência,2021,66
Independência,2022,83
Independência,2023,46
Ipaporanga,2013,4
Ipaporanga,2014,6
Ipaporanga,2015,10
Ipaporanga,2016,18
Ipaporanga,2017,19
Ipaporanga,2018,8
Ipaporanga,2019,9
Ipaporanga,2020,12
Ipaporanga,2021,11
Ipaporanga,2022,20
Ipaporanga,2023,28
Ipaumirim,2009,2
Ipaumirim,2010,5
Ipaumirim,2011,10
Ipaumirim,2012,4
Ipaumirim,2013,25
Ipaumirim,2014,16
Ipaumirim,2015,28
Ipaumirim,2016,32
Ipaumirim,2017,40
Ipaumirim,2018,51
Ipaumirim,2019,48
Ipaumirim,2020,15
Ipaumirim,2021,30
Ipaumirim,2022,41
Ipaumirim,2023,40
Ipu,2009,1
Ipu,2010,3
Ipu,2011,6
Ipu,2012,7
Ipu,2013,22
Ipu,2014,84
